db,expert,id,author,title,genre ,nombre d'actes,Prologue,Prose/vers,"Musique, danse, machines",Date de création,Created,Updated
,1,5546,Donneau de Vizé (Jean),Aventurière (L'),comédie,5,FALSE,vers,FALSE,2 JANV 1696,,
,1,5062,Legrand (Marc-Antoine),Aveugle clairvoyant (L'),comédie,1,FALSE,vers,FALSE,,,
,1,5063,Fournelle (Jean-Nicolas),Aveugle par crédulité (L'),comédie,1,FALSE,prose,FALSE,,,
,1,5243,Vigée (Louis-Jean-Baptiste-Étienne),Aveux difficiles (Les),comédie ,1,FALSE,vers,FALSE,24 FEVRIER 1783,,
,1,5064,Brueys (David-Augustin de),Avocat Patelin (L'),comédie,3,FALSE,prose,FALSE,,,
,1,5547,"Rosimond (Claude Rose, sieur de)",Avocat sans étude (L'),comédie,1,FALSE,vers,FALSE,,,
,1,4878,Chénier (Marie-Joseph de),Azémire,tragédie ,5,FALSE,vers,FALSE,6 NOV 1786,,
1,,4878,Chénier (Marie-Joseph),Azémire,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5065,Boissy (Louis de),Babillard (Le),comédie,1,FALSE,vers,FALSE,,,
,1,5654,Anonyme,Badaud (Le),comédie,1,FALSE,prose,FALSE,10 MAI 1687,,
,1,5655,Boissy (Louis de),Badinage (Le),comédie,1,FALSE,vers,FALSE,23 NOV 1733,,
,1,5581,Dancourt (Florent Carton dit),Baguette (La),comédie,1,FALSE,prose,TRUE,,,
,1,5656,Du Fresny (Charles),Bailli marquis (Le),comédie,1,FALSE,prose,TRUE,,,
,1,4879,Racine (Jean),Bajazet,tragédie,5,FALSE,vers,FALSE,,,
1,,4879,Racine (Jean),Bajazet,tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5487,Pacarony (chevalier de),Bajazet premier,tragédie,5,FALSE,vers,FALSE,,,
1,,5487,Pacarony (Chevalier de),Bajazet premier,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5657,Boindin (Nicolas),Bal d'Auteuil (Le),comédie,3,TRUE,prose,TRUE,,,
,1,5658,"Palaprat (Jean de, sieur de Bigot)",Ballet extravagant (Le),comédie,1,FALSE,prose,TRUE,,,
,1,5066,Beaumarchais (Pierre-Augustin Caron de),Barbier de Séville ou la Précaution inutile (Le),comédie,4,FALSE,prose,FALSE,,,
,1,5244,La Harpe (Jean François de),Barmécides (Les),tragédie,5,FALSE,vers,FALSE,,,
,1,4880,Le Mierre (Antoine-Marin) ,Barnevelt,tragédie,5,FALSE,vers,FALSE,11 JUILLET 1778,,
1,,4880,Lemierre (Antoine-Marin),"Barnevelt, grand pensionnaire de Hollande",tragédie,5,FALSE,vers,FALSE,,2013-05-02 06:25:01 -0400,2013-05-02 06:25:01 -0400
,1,5067,Corneille (Thomas),Baron d'Albikrac (Le),comédie,5,FALSE,vers,FALSE,30 JUIN 1790,,
,1,5068,Poisson (Raymond),Baron de la Crasse (Le),comédie,1,FALSE,vers,TRUE,,,
,1,5659,Corneille (Thomas),Baron des Fondrières (Le),comédie,5,FALSE,vers,FALSE,,,
,1,5488,Gaultier,Basile et Quitterie,tragi-comédie,3,TRUE,vers,TRUE,,,
1,,5488,Gaultier,Basile et Quitterie,tragi-comédie,3,TRUE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
