id,author,title,genre,acts,prologue,prose_vers,musique_danse_machine,date_de_creation
5663,Anonyme,Cadet de Gascogne (Le),comédie,5,FALSE,,FALSE,
5664,Anonyme,Cadet de Gascogne (Le),comédie,1,FALSE,,FALSE,
5665,Rousseau (Jean-Baptiste),Café (Le),comédie,1,FALSE,prose,FALSE,
5075,Voltaire (François-Marie Arouet dit),Café ou l'Écossaise (Le) ou L'Écossaire ou le Café,comédie,5,FALSE,prose,FALSE,
4887,Gudin de La Brenellerie (Paul-Philippe),Caïus Marcius Coriolan ou le Danger d'offenser un grand homme,tragédie,4,FALSE,vers,FALSE,
4889,Colardeau (Charles-Pierre),Caliste,tragédie,5,FALSE,vers,FALSE,14 AOUT 1776
1146,"Mauprie (Olivier Hubert Angélique Gourjaut de Mauprie, marquis de)",Caliste ou la Belle pénitente,tragédie,5,FALSE,vers,FALSE,11/12/1760
5492,Piron (Alexis),Callisthène,tragédie,5,FALSE,vers,FALSE,27 AVR 1750
5493,Corneille (Thomas),"Camma, reine de Galatie",tragédie,5,FALSE,vers,FALSE,
5666,Grandval (Nicolas Racot de),Camp de Porché-Fontaine (Le),comédie,1,FALSE,prose,TRUE,
5667,Gillet de La Tessonerie,Campagnard (Le),comédie,5,FALSE,vers,FALSE,
5642,Le Mascrier (Jean-Baptiste),Caprice et la Ressource (Le),prologue,1,FALSE,vers,FALSE,
5076,Renout (Jean-Julien-Constantin),Caprice ou l'Épreuve dangereuse (Le),comédie,3,FALSE,prose,FALSE,
5668,Rousseau (Jean-Baptiste),Capricieux ou les Apparences trompeuses (Le),comédie,5,FALSE,vers,FALSE,
5758,Roy (Pierre-Charles) ; La Font (Joseph de),Captifs (Les),comédie,3,TRUE,vers,TRUE,
5759,Fagan (Barthélemy-Christophe),Caractères de Thalie (Les),comédie,3,TRUE,prose / vers,TRUE,
5669,Dancourt (Florent Carton dit),Carnaval de Venise (Le),comédie héroïque,5,FALSE,,FALSE,
5494,Legrand (Marc-Antoine),Cartouche ou les Voleurs,comédie,3,FALSE,prose,TRUE,9 AOUT 1680
5584,"Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)",Cassette (La),comédie,5,FALSE,vers,TRUE,
5495,La Grange-Chancel (François-Joseph de),Cassius et Victorinus martyrs,tragédie,5,FALSE,vers,FALSE,
4890,Crébillon (Prosper Jolyot de),Catilina,tragédie,5,FALSE,vers,FALSE,
5696,Deschamps (François-Michel-Chrétien),Caton d'Utique,tragédie,5,FALSE,vers,FALSE,12/20/1748
4965,Dancourt (Florent Carton dit),Cavalcade (La),divertissement,,FALSE,,TRUE,
5077,Dorat (Claude-Joseph),Célibataire (Le),comédie,5,FALSE,vers libres,FALSE,
4891,Graffigny (Françoise de),Cénie,drame,5,FALSE,prose,FALSE,
5078,Artaud (Jean-Baptiste),Centenaire de Molière (Le),comédie,1,FALSE,vers et prose,TRUE,25 JUIN 1750
5497,Dancourt (Florent Carton dit),Céphale et Procris,comédie,3,TRUE,vers,TRUE,
4892,Le Mierre (Antoine-Marin),Céramis,tragédie,5,FALSE,vers,FALSE,
5079,Poinsinet (Antoine-Alexandre-Henri),Cercle ou la Soirée à la mode (Le),comédie épisodique,1,FALSE,prose,FALSE,12/29/1785
5080,Dancourt (Florent Carton dit),Charivari (Le),comédie,1,FALSE,prose,TRUE,
4893,Chénier (Marie-Joseph de),Charles IX ou l'École des rois,tragédie,5,FALSE,vers,FALSE,
5761,Montauban (Jacques Pousset de),"Charmes de Félicie, tirés de la Diane de Montemayor (Les)",pastorale,5,FALSE,vers,TRUE,11/4/1789
5585,Legrand (Marc-Antoine),Chasse du cerf (La),comédie-ballet,3,TRUE,prose,TRUE,
5586,Anonyme,Chasse ridicule (La),comédie,1,FALSE,prose,FALSE,
5248,Collin d'Harleville (Jean-François),Châteaux en Espagne (Les),comédie,5,FALSE,vers,FALSE,
5249,Bauvin (Jean-Grégoire),Chérusques (Les),tragédie,5,FALSE,vers,FALSE,20 FEVRIER 1789
5671,Autreau (Jacques),Chevalier Bayard (Le),comédie héroïque,5,FALSE,vers,FALSE,
5082,Dorat (Claude-Joseph),Chevalier français à Londres (Le),comédie,3,FALSE,vers,FALSE,
5083,Dorat (Claude-Joseph),Chevalier français à Turin (Le),comédie,3,FALSE,vers,FALSE,
5672,Du Fresny (Charles),Chevalier joueur (Le),comédie,5,FALSE,prose,FALSE,
5084,Boutet de Monvel (Jacques-Marie),Chevalier sans peur et sans reproche ou les Amours de Bayard (Le),comédie héroïque,4,FALSE,prose,FALSE,
5498,Morand (Pierre de),Childéric,tragédie,5,FALSE,vers,FALSE,
5085,Simon-Chauvot,Chirurgien de village (Le),comédie,1,FALSE,prose,FALSE,
5086,Corneille (Pierre),Cid (Le),tragi-comédie / tragédie,5,FALSE,vers,FALSE,
4894,Corneille (Pierre),Cinna ou la Clémence d'Auguste,tragédie,5,FALSE,vers,FALSE,
5499,Gomez (Madeleine-Angélique de),"Cléarque, tyran d'Héraclée",tragédie,5,FALSE,vers,FALSE,
4895,Boutet de Monvel (Jacques-Marie),Clémentine et Desormes,drame,5,FALSE,prose,FALSE,
